us,epv,sum_shows,sum_clicks,sum_charge(å…ƒ),sum_zhihang_clicks,sum_phone_clicks,sum_appoint_confirm_clicks,sum_consult_clicks,sum_collect_clicks,sum_buy_clicks,conversion,ctr2,cvr,asn,cpm3
nianren02,384,4187,386,1702.67,2,11,0,0,0,0,13,0.09219011225220922,0.03367875647668394,10.903645833333334,4.434036458333334
jiaoyin02,92,857,92,781.53,0,2,0,0,0,0,2,0.1073512252042007,0.021739130434782608,9.315217391304348,8.494891304347826
zhongdianhulian02,699,1345,720,993.2,20,27,0,1,0,0,48,0.5353159851301115,0.06666666666666667,1.9241773962804005,1.4208869814020029
cpstpsj7221,1,9,1,3.64,0,1,0,0,0,0,1,0.1111111111111111,1.0,9.0,3.64
dspztc037,800,5548,801,2085.95,0,12,0,2,0,3,17,0.14437635183850037,0.02122347066167291,6.935,2.6074374999999996
dspztc043,293,2534,294,1262.98,0,6,0,0,0,1,7,0.11602209944751381,0.023809523809523808,8.648464163822526,4.310511945392491
cpstpsj405,224,653,235,356.94,0,2,0,0,0,2,4,0.35987748851454826,0.01702127659574468,2.9151785714285716,1.5934821428571428
dspztc051,1419,7096,1439,3506.13,2,51,0,6,0,70,129,0.20279030439684329,0.08964558721334259,5.000704721634954,2.4708456659619453
fenghuangxinwen04,129,845,141,463.03,11,2,0,1,0,0,14,0.1668639053254438,0.09929078014184398,6.550387596899225,3.58937984496124
dspztc042,298,2697,315,1336.26,1,3,0,0,0,3,7,0.1167964404894327,0.022222222222222223,9.050335570469798,4.484093959731544
NULL,771,4403,940,3056.26,823,12,0,2,0,3,840,0.21349080172609583,0.8936170212765957,5.7107652399481195,3.96402075226978
zhongdianhulian01,623,1170,647,786.17,24,27,0,0,0,0,51,0.552991452991453,0.07882534775888717,1.8780096308186196,1.2619101123595504
fenghuangxinwen03,541,3497,555,1237.04,0,40,0,0,0,0,40,0.15870746354017728,0.07207207207207207,6.463955637707948,2.286580406654344
zhongdianhulian03,1937,15383,1939,9468.44,0,37,0,55,0,64,156,0.1260482350646818,0.08045384218669417,7.941662364481156,4.888198244708312
cpstpsj702,377,1994,392,1389.62,1,15,0,1,0,2,19,0.19658976930792377,0.04846938775510204,5.289124668435013,3.685994694960212
hongtu02,219,786,230,220.56,11,14,0,1,0,0,26,0.2926208651399491,0.11304347826086956,3.589041095890411,1.0071232876712328
honglu01,48,115,48,43.69,0,7,0,0,0,0,7,0.41739130434782606,0.14583333333333334,2.3958333333333335,0.9102083333333333
cpstpsj408,230,740,238,433.69,3,17,2,1,0,1,24,0.3216216216216216,0.10084033613445378,3.217391304347826,1.8856086956521738
yuanwei03,382,919,381,207.14,0,4,0,3,0,2,9,0.41458106637649617,0.023622047244094488,2.405759162303665,0.5422513089005235
cpstpsj703,293,1296,300,646.28,0,5,0,0,0,0,5,0.23148148148148148,0.016666666666666666,4.42320819112628,2.2057337883959045
yingshu01,289,629,299,275.44,10,8,0,2,0,0,20,0.4753577106518283,0.06688963210702341,2.176470588235294,0.9530795847750865
hongtu03,376,2614,406,1377.15,30,11,0,5,0,0,46,0.15531752104055088,0.11330049261083744,6.952127659574468,3.6626329787234044
zhongdianhulian05,1870,14656,1869,9275.11,0,35,0,40,0,53,128,0.1275245633187773,0.06848582129481005,7.837433155080214,4.959951871657754
cpstpsj403,268,934,277,407.69,0,8,0,0,0,2,10,0.2965738758029979,0.036101083032490974,3.485074626865672,1.521231343283582
hongtu04,85,182,85,92.86,0,5,0,0,0,0,5,0.46703296703296704,0.058823529411764705,2.1411764705882352,1.092470588235294
yuanwei02,471,1189,471,466.64,0,5,0,6,0,12,23,0.3961312026913373,0.04883227176220807,2.524416135881104,0.9907430997876857
cpsst13,36,163,36,31.78,0,0,0,0,0,0,0,0.22085889570552147,0.0,4.527777777777778,0.8827777777777778
zhongdianhulian04,397,939,397,646.85,0,0,0,7,0,10,17,0.422790202342918,0.042821158690176324,2.3652392947103276,1.629345088161209
dspztc009,66,534,66,345.24,0,1,0,3,0,0,4,0.12359550561797752,0.06060606060606061,8.090909090909092,5.230909090909091
jiaoyin10,174,685,175,251.82,1,8,0,3,0,4,16,0.25547445255474455,0.09142857142857143,3.9367816091954024,1.4472413793103447
cpstpsj413,214,905,226,224.4,0,0,0,0,0,0,0,0.24972375690607734,0.0,4.228971962616822,1.0485981308411214
dspztc036,6,47,7,20.6,0,0,0,0,0,0,0,0.14893617021276595,0.0,7.833333333333333,3.4333333333333336
dspztc027,100,503,101,164.87,0,1,0,0,0,0,1,0.20079522862823063,0.009900990099009901,5.03,1.6487
cpstpsj8199,2,14,2,3.72,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,1.86
dspztc041,218,2221,224,1561.74,1,1,0,0,0,0,2,0.10085547050877983,0.008928571428571428,10.188073394495413,7.16394495412844
cpskg10,14,42,14,25.06,0,4,0,0,0,0,4,0.3333333333333333,0.2857142857142857,3.0,1.7899999999999998
cpstpsj407,319,2313,331,1639.04,4,12,2,2,0,0,20,0.14310419368785127,0.06042296072507553,7.2507836990595615,5.138056426332288
dspztc048,135,729,135,391.9,0,0,0,0,0,0,0,0.18518518518518517,0.0,5.4,2.9029629629629627
nianren01,20,42,20,20.42,0,0,0,0,0,0,0,0.47619047619047616,0.0,2.1,1.0210000000000001
dspztc012,122,953,134,714.28,1,1,0,1,0,0,3,0.14060860440713535,0.022388059701492536,7.811475409836065,5.854754098360655
cpsst04,18,83,18,9.98,0,0,0,0,0,0,0,0.21686746987951808,0.0,4.611111111111111,0.5544444444444445
dspztc049,23,80,23,41.93,0,0,0,0,0,0,0,0.2875,0.0,3.4782608695652173,1.8230434782608695
dspztc050,47,492,48,435.58,0,0,0,0,0,2,2,0.0975609756097561,0.041666666666666664,10.46808510638298,9.267659574468086
dspztc013,17,69,20,44.56,0,0,0,0,0,0,0,0.2898550724637681,0.0,4.0588235294117645,2.621176470588235
yuanwei05,39,43,39,75.38,0,0,0,1,0,0,1,0.9069767441860465,0.02564102564102564,1.1025641025641026,1.9328205128205127
yuanwei01,90,130,90,204.45,0,0,0,2,0,3,5,0.6923076923076923,0.05555555555555555,1.4444444444444444,2.2716666666666665
yuanwei04,199,289,199,228.45,0,3,0,5,0,6,14,0.6885813148788927,0.07035175879396985,1.4522613065326633,1.1479899497487436
dspztc026,36,157,41,49.33,0,0,0,1,0,0,1,0.2611464968152866,0.024390243902439025,4.361111111111111,1.3702777777777777
cpstpsj120,34,301,38,339.81,1,0,0,0,0,0,1,0.12624584717607973,0.02631578947368421,8.852941176470589,9.994411764705882
cpstpsj119,24,79,27,67.69,0,2,0,0,0,0,2,0.34177215189873417,0.07407407407407407,3.2916666666666665,2.8204166666666666
jingzhong02,10,34,10,14.34,0,0,0,0,0,0,0,0.29411764705882354,0.0,3.4,1.434
cpstpsj305,12,51,12,16.43,0,0,0,0,0,0,0,0.23529411764705882,0.0,4.25,1.3691666666666666
dspztc039,44,219,45,116.06,0,0,0,0,0,0,0,0.2054794520547945,0.0,4.9772727272727275,2.6377272727272727
cpskg09,25,91,25,32.6,0,0,0,0,0,0,0,0.27472527472527475,0.0,3.64,1.304
cpsst06,1,2,1,0.43,0,0,0,0,0,0,0,0.5,0.0,2.0,0.43
cpstpsj7974,1,7,1,2.0,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,2.0
jiaoyin01,50,133,55,93.53,1,9,0,0,0,0,10,0.41353383458646614,0.18181818181818182,2.66,1.8706
dspztc035,16,65,17,22.58,0,0,0,1,0,0,1,0.26153846153846155,0.058823529411764705,4.0625,1.41125
cpstpsj206,54,431,57,181.33,0,2,0,1,0,0,3,0.13225058004640372,0.05263157894736842,7.981481481481482,3.3579629629629633
cpstpsj4720,2,27,4,12.22,1,0,0,0,0,0,1,0.14814814814814814,0.25,13.5,6.11
dspztc038,16,69,18,65.75,0,0,0,0,0,0,0,0.2608695652173913,0.0,4.3125,4.109375
honglu02,27,42,27,38.61,0,1,0,0,0,0,1,0.6428571428571429,0.037037037037037035,1.5555555555555556,1.43
cpstpsj301,13,47,13,23.22,0,0,0,0,0,0,0,0.2765957446808511,0.0,3.6153846153846154,1.786153846153846
cpsst15,16,28,16,17.92,0,1,0,0,0,0,1,0.5714285714285714,0.0625,1.75,1.12
cpstpsj3003,6,81,8,143.62,0,3,0,0,0,0,3,0.09876543209876543,0.375,13.5,23.936666666666667
dspztc029,22,200,22,70.54,0,0,0,0,0,0,0,0.11,0.0,9.090909090909092,3.2063636363636365
cpskg03,7,74,7,63.45,0,0,0,0,0,0,0,0.0945945945945946,0.0,10.571428571428571,9.064285714285715
beiyong05,2,25,3,14.84,1,0,0,0,0,0,1,0.12,0.3333333333333333,12.5,7.42
dspztc045,15,95,16,29.88,1,1,0,0,0,0,2,0.16842105263157894,0.125,6.333333333333333,1.992
dspztc046,22,138,24,55.35,0,5,0,0,0,0,5,0.17391304347826086,0.20833333333333334,6.2727272727272725,2.515909090909091
dspztc047,3,12,3,2.8,0,0,0,0,0,0,0,0.25,0.0,4.0,0.9333333333333332
cpsst09,5,12,5,21.3,0,0,0,0,0,0,0,0.4166666666666667,0.0,2.4,4.26
cpstpsj9398,3,41,4,54.5,0,0,0,0,0,0,0,0.0975609756097561,0.0,13.666666666666666,18.166666666666668
dspztc034,5,31,7,17.67,0,0,0,0,0,0,0,0.22580645161290322,0.0,6.2,3.5340000000000003
cpstpsj9399,6,43,6,21.36,0,3,0,0,0,0,3,0.13953488372093023,0.5,7.166666666666667,3.56
jingzhong01,2,3,2,0.7,0,0,0,0,0,0,0,0.6666666666666666,0.0,1.5,0.35
cpstpsj4194,1,7,1,10.4,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,10.4
cpstpsj8033,1,7,2,1.7,0,0,0,0,0,0,0,0.2857142857142857,0.0,7.0,1.7
cpstpsj1240,2,25,2,14.1,0,1,0,0,0,0,1,0.08,0.5,12.5,7.05
cpstpsj4384,1,15,1,21.8,0,0,0,0,0,0,0,0.06666666666666667,0.0,15.0,21.8
yrtt14,1,4,1,2.47,0,0,0,0,0,0,0,0.25,0.0,4.0,2.47
cpstpsj8319,1,7,1,3.2,0,1,0,0,0,0,1,0.14285714285714285,1.0,7.0,3.2
cpstpsj9390,1,15,2,11.12,0,0,0,0,0,0,0,0.13333333333333333,0.0,15.0,11.12
cpstpsj918,2,29,4,32.65,0,0,0,0,0,0,0,0.13793103448275862,0.0,14.5,16.325
cpstpsj3214,1,15,1,8.92,0,0,0,0,0,0,0,0.06666666666666667,0.0,15.0,8.92
cpstpsj7239,1,7,1,0.4,0,0,0,0,0,0,0,0.14285714285714285,0.0,7.0,0.4
jingzhong03,1,3,1,0.1,0,0,0,0,0,0,0,0.3333333333333333,0.0,3.0,0.1
weimiao01,1,3,1,2.8,0,0,0,0,0,0,0,0.3333333333333333,0.0,3.0,2.8
